id, name, total_movies
108661,Chester Bennington,16
214830,Mike Shinoda,16
1070445,Brad Delson,15
220875,Francis Rossi,11
47991,Bob Geldof,11
2680,Donnie Wahlberg,3
140567,Donny Osmond,9
1214976,Nick Lachey,4
145755,Mylène Farmer,15
1082289,Yvan Cassar,9
1082290,Eric Chevalier,3
107209,Doyle Bramhall II,4
100198,Chris Stainton,5
4078,Lee Van Cleef,4
14276,Gian Maria Volonté,7
3265,Eli Wallach,10
4724,Kevin Bacon,5
1374360,Grae Drake,1
20156,Sammy Davis Jr.,8
4347,Frank Sinatra,25
4299,Dean Martin,11
14701,Carroll Baker,2
6449,Warren Beatty,3
9979,Peter Coyote,16
9789,Robert Altman,5
1884692,Susannah Kenton,2
2701107,Eugene Chang,1
19011,George W. Bush,15
1666,Julie Christie,5
2226,Sydney Pollack,5
1776,Francis Ford Coppola,13
854,James Stewart,10
2395,Whoopi Goldberg,47
4430,Sharon Stone,13
516,Annette Bening,3
14782,Andrew Robinson,1
147,Michael Madsen,11
7879,John Lasseter,7
491,John Williams,9
488,Steven Spielberg,19
15344,J.J. Abrams,2
1828524,Katy Emde,1
2367461,Caprice Rothe,1
8891,John Travolta,10
139,Uma Thurman,9
380,Robert De Niro,23
11477,Ray Liotta,6
4517,Joe Pesci,7
449538,Adele,7
87525,Alan Carr,2
7056,Emma Thompson,8
4001066,Richard Teideman,1
1197772,David Aaronovitch,1
3895,Michael Caine,12
19119,Mélanie Laurent,1
10475,Lois Chiles,1
155465,Clifton Davis,1
1897,Bernie Mac,4
18471,Anthony Anderson,6
77896,Bill Bellamy,4
313090,Damien Carter,1
3462925,Ken Carter,1
1406017,Chris Dixon,1
8892,Olivia Newton-John,10
58184,Jane Curtin,5
30485,CCH Pounder,3
33655,Erika Alexander,1
1117437,Jas Anderson,1
58924,Clifton Powell,18
1561264,D'Arcy Carden,2
1370567,Eugene Cordero,2
2369878,George Kranz,1
8875,David Margulies,2
10489,Jack McGee,1
72658,Franklyn Seales,1
1981,Alfre Woodard,10
95621,Howard Rollins,1
3223,Robert Downey Jr.,9
16828,Chris Evans,8
74568,Chris Hemsworth,5
35705,Regina Hall,3
143242,Terrence J,2
233191,Terrence 'T.C.' Carson,4
103,Mark Ruffalo,7
32395,Debbie Allen,6
1691128,David Dinkins,1
1010896,Roberta Flack,5
140,Lucy Liu,4
2535,Vivica A. Fox,18
1219050,Hank Aaron,2
14414,Kareem Abdul-Jabbar,6
